stop_name,stop_lat,stop_lon,vehicle_type
Gogstadbakken,63.450375,10.308714,700
Grandli,63.393754,10.544692,700
Granhaugan,63.370142,10.386256,700
Granåsen VM-anlegget,63.37875,10.317096,700
Granåsen gård,63.414162,10.471677,700
Granåsvegen,63.417324,10.45805,700
Grilstadkleiva,63.433553,10.500019,700
Grindan,63.382962,10.163684,700
Grønlia,63.415512,10.303579,700
Grøset søndre,63.441363,10.196187,700
Gudruns gate,63.425204,10.382775,700
Gyldenløves gate,63.43071,10.420049,700
Haakon VII gate 25,63.439894,10.461353,700
Hagen,63.370855,10.40453,700
Hallansvingen,63.31434,10.41637,700
Hallfred Høyems veg,63.41982,10.467773,700
Hallset,63.39409,10.367062,700
Halstein gård,63.368656,10.403186,700
Hammersborg,63.42383,10.357234,700
Hangeråsen,63.374557,10.101906,700
Hangran,63.381955,10.074903,700
Hansensvingen,63.435894,10.615934,700
Hanskemakerbakken,63.429279,10.365727,700
Haugan,63.435389,10.675739,700
Haugbjørg,63.359386,10.196208,700
Haugnessvingen,63.387924,10.394521,700
Haugrønning,63.398758,10.068523,700
Haukvik,63.342594,10.054459,700
Havenget,63.314644,10.154071,700
Havstad,63.406254,10.355302,700
Havstadsenteret,63.407559,10.35945,700
Heggdalen,63.407642,10.450463,700
Heggstad,63.340973,10.338634,700
Heggstaddalen,63.337309,10.33611,700
Heggstadmoen 2,63.34002,10.353124,700
Heggstadmoen 4,63.33879,10.353186,700
Hegsnippen,63.422523,10.148766,700
Heimdal stasjon,63.351546,10.356846,700
Heimdalshallen,63.348593,10.365821,700
Heimdalsvegen 73,63.343918,10.346098,700
Henrik Ourens veg,63.415012,10.445394,700
Herlofsonløypa,63.405185,10.320049,900
Hesthagen,63.416799,10.3972,700
Hestsjøen,63.3564,10.272276,700
Hoeggen skole,63.401226,10.433753,700
Holten,63.320027,10.500172,700
Hornebergvegen,63.39366,10.401645,700
Hospitalskirka,63.430353,10.385095,700
Hospitalskirka,63.430358,10.385092,900
Hundhamaren,63.438619,10.596716,700
Husebytunet,63.368871,10.345149,700
Hårstadkrysset,63.347241,10.37074,700
Høgreina,63.380703,10.340318,700
Høgreina øvre,63.380589,10.335034,700
Høgskoleringen,63.420867,10.404181,700
Høstad,63.40642,10.161594,700
Høstadkorsen,63.410086,10.158215,700
Høvringen,63.446044,10.335748,700
Høyset,63.411936,10.463225,700
Idrettsveien,63.35096,10.366749,700
Ila,63.429267,10.367671,700
Ila,63.429281,10.368342,900
Ilsvika,63.431091,10.357364,700
Ingeborg Ofstads veg,63.35735,10.399418,700
Ingemann Torps vei,63.446144,10.441357,700
Isdamvegen,63.344898,10.377056,700
Iskremfabrikken,63.423706,10.467711,700
Ivar Skjånes veg,63.355583,10.377303,700
Jakobsli,63.41023,10.491522,700
Jakobsli Idrettsplass,63.415452,10.493559,700
Jakobslivegen nedre,63.428486,10.49437,700
Jakobslivegen øvre,63.412175,10.492434,700
Johan Falkbergets vei,63.412306,10.362513,700
Johan Nygaardsvolds vei,63.354702,10.361849,700
Johan Tillers vei,63.34835,10.36074,700
John P. Kroglunds veg,63.353405,10.34074,700
Jonsborg,63.394992,10.554838,700
Jonsvannsveien,63.42271,10.413242,700
Jørgen B. Lysholms vei,63.444216,10.45822,700
K.O. Thornæs' veg,63.40668,10.436912,700
Kambru,63.339665,10.443707,700
Karl Jonssons veg,63.401403,10.408626,700
Karlsheim,63.408109,10.501149,700
Karrosserifabrikken,63.385223,10.1617,700
Kattemsenteret,63.345797,10.337968,700
Killingdal,63.435403,10.348848,700
Klefstadbekken,63.434371,10.156032,700
Klefstadbukta,63.43859,10.171063,700
Klefstadhaugen,63.433495,10.183457,700
Kleiva,63.416559,10.666389,700
Kleivplassen,63.353971,10.212691,700
Klett,63.325527,10.30642,700
Klettkrysset,63.323516,10.300629,700
Klokkerplassen,63.428689,10.551046,700
Klokkstein,63.355131,10.342402,700
Knausen,63.348119,10.16778,700
Kobberdammen,63.41672,10.28803,700
Koieflata,63.352965,10.386884,700
Kolstad kirke,63.363451,10.342813,700
Kolstaddalen,63.368643,10.366963,700
Kolstadhaugen,63.375235,10.336877,700
Kolsåsdalen,63.375928,10.321741,700
Kongens gate,63.430542,10.391548,700
Konglevegen,63.422916,10.489985,700
Korsmo,63.321503,10.479613,700
Kroppan,63.386847,10.375938,700
Kroppanbrua,63.395407,10.389848,700
Kroppanmarka,63.3823,10.386445,700
Krutthusbakken,63.447718,10.433519,700
Kuset,63.382876,10.597571,700
Kuset gård,63.3837,10.589688,700
Kvammenkrysset,63.30415,10.334672,700
Kvamshaugen,63.374075,10.43003,700
Kvenild,63.35638,10.35897,700
Kvenildsmyra,63.335222,10.369243,700
Kystad,63.388398,10.341678,700
Kyvannet,63.40393,10.338053,900
Lade allé 73,63.44056,10.465304,700
Lade allé 80,63.442055,10.463474,700
Lade gård,63.44766,10.440161,700
Lade idrettsanlegg,63.443994,10.448999,700
Ladehammeren,63.445957,10.426299,700
Ladejarlen vgs.,63.445018,10.423737,700
Ladeveien,63.443473,10.435319,700
Langlo,63.367264,10.111429,700
Langåsmyra,63.43524,10.187738,700
Larsstu,63.34799,10.173361,700
Lauglo,63.350846,10.232466,700
Lauvåsen,63.35141,10.243673,700
Leangen allé,63.433815,10.465237,700
Legårdsbakken,63.35555,10.267262,700
Leinbakken,63.35579,10.259017,700
Leinstrand samfunnshus,63.324812,10.312836,700
Leinum,63.343672,10.259922,700
Leira skole,63.376702,10.432318,700
Leirbrua gård,63.38485,10.324088,700
Leirelva,63.382789,10.331877,700
Leirfossvegen,63.382822,10.376911,700
Leirøya,63.38662,10.389829,700
Leistadkrysset,63.422291,10.63188,700
Lerkendal,63.41174,10.399045,700
Lerkendal gård,63.412782,10.407832,700
Lersbakken,63.331757,10.330705,700
Lia,63.364996,10.444061,700
Lialøkken,63.372466,10.432771,700
Lian,63.402909,10.31425,900
Lillerydningen,63.387233,10.351943,700
Litjvika,63.34246,10.554356,700
Loholtbakken,63.405085,10.459751,700
Lohove,63.405809,10.454784,700
Losgata,63.437915,10.417469,700
Lundemobakken,63.35234,10.360878,700
Lundåsen,63.352572,10.326988,700
Lundåsen nordre,63.354384,10.326279,700
Lykkjnesset,63.320118,10.14055,700
Lykkmarka,63.36628,10.397873,700
Lyngvegen,63.357199,10.355459,700
Lysklett,63.31718,10.479794,700
Løften,63.45144,10.279221,700
Løvaasveien,63.337165,10.369796,700
Magnus Berrføtts veg,63.421768,10.439018,700
Malvik,63.437928,10.657935,700
Marcus Thranes vei,63.355064,10.367064,700
Margretes gate,63.423815,10.386506,700
Marie Sørdals veg,63.392654,10.437143,700
Marienborg stasjon,63.41882,10.38211,700
Markaplassen,63.41517,10.536374,700
Markaplassen skole,63.413787,10.529864,700
Martin Kregnes veg,63.353813,10.397878,700
Martin Linges veg,63.359841,10.368315,700
Martin Stokkens veg,63.39221,10.370477,700
Maskinagentur,63.366236,10.373749,700
Maskinistboligene,63.381382,10.397851,700
Megarden,63.39397,10.160913,700
Mentz Skjetnes vei,63.345463,10.359402,700
Midteggen,63.36254,10.357683,700
Mikkelvegen,63.371621,10.391379,700
Mjøset,63.401149,10.163096,700
Moen,63.384887,10.539553,700
Moheim,63.35407,10.306592,700
Moholt Storsenter,63.41051,10.440906,700
Moholt studentby,63.412254,10.433627,700
Moltmyra,63.360878,10.394569,700
Moltmyra øst,63.360416,10.399226,700
Mortensen,63.3733,10.539054,700
Munkaunet,63.449165,10.319223,700
Munkvoll,63.397194,10.359219,700
Munkvoll,63.397802,10.359767,900
Myrsund,63.369133,10.176052,700
Møllebakken,63.429356,10.358337,700
Nardokrysset,63.406281,10.42451,700
Nardosenteret,63.403569,10.426994,700
Naustkleiva,63.44004,10.653251,700
Nedre Charlottenlund,63.432763,10.49363,700
Nedre Humlehaugen vest,63.426817,10.535191,700
Nedre Humlehaugen øst,63.428343,10.537334,700
Nedre Jervan,63.38474,10.575618,700
Nedre Leirfoss,63.380428,10.395075,700
Nestingvegen,63.348741,10.193829,700
Nidarosdomen,63.425815,10.393372,700
Nidarvoll,63.396759,10.404257,700
Nidarvoll skole,63.398686,10.404892,700
Nidarø,63.426704,10.377384,700
Nordre Flatåsen,63.379264,10.349993,700
Nordre Hoem,63.405587,10.381037,900
Nordsetrønningen,63.339274,10.462246,700
Nordslettvegen,63.387051,10.408741,700
Nordslettvegen Terrasse,63.384756,10.406915,700
Nordslettvegen snuplass,63.384005,10.404546,700
Norrkøpingveien,63.416462,10.35316,700
Nyborg,63.413815,10.352321,700
Nygård Bratsberg,63.346586,10.513666,700
Nyjord,63.379687,10.538745,700
Nypan,63.330754,10.307853,700
Nypantunet,63.332365,10.296944,700
Nypvang skole,63.331648,10.299221,700
Nyveibakken,63.423966,10.371359,700
Nyveibakken,63.424354,10.372478,900
Okstad,63.375744,10.379937,700
Okstad skole,63.382396,10.378188,700
Okstad østre,63.379528,10.389953,700
Okstadplassen,63.379088,10.384945,700
Okstadvegen,63.383056,10.37917,700
Okstadøy,63.373444,10.367617,700
Ola Setroms veg,63.391509,10.330713,700
Olaf Bulls veg,63.398324,10.344835,700
Olav Engelbrektssons allé,63.44708,10.457458,700
Olav Kyrres gate,63.420817,10.395515,700
Olav Nygards veg,63.391575,10.348025,700
Olav Tryggvasons gate,63.433292,10.397798,700
Olderdalen,63.422424,10.525053,700
Ole Ross' veg,63.351199,10.375769,700
Omkjøringsveien Klæbuveien,63.402315,10.407381,700
Omkjøringsveien Moholt,63.410677,10.444586,700
Omkjøringsveien Nardo,63.407197,10.42069,700
Onsøybakkan,63.4285,10.170537,700
Oppsynsmann Eggens veg,63.342176,10.360601,700
Osbakken,63.401283,10.517931,700
Osbrua,63.3996,10.524245,700
Osen,63.396952,10.524487,700
Osvegen,63.42109,10.548923,700
Othilienborg,63.406969,10.442816,700
Paul Skolemesters veg,63.36963,10.394458,700
Peder Morsets veg,63.356477,10.361958,700
Persaunet leir,63.431572,10.442079,700
Perstu,63.362526,10.192734,700
Piene Mølle,63.311924,10.160683,700
Pirbadet,63.44045,10.403141,700
Planetringen,63.432469,10.637689,700
Presthus,63.423727,10.518811,700
Presthusaunet,63.4197,10.494934,700
Prinsens gate,63.431194,10.392115,700
Ramstad,63.412144,10.476113,700
Randlia,63.351126,10.441976,700
Ranheim,63.424913,10.534196,700
Ranheim fabrikker,63.421858,10.536074,700
Ranheim fabrikker E6,63.421942,10.535543,700
Ranheim idrettsplass,63.427952,10.522386,700
Rate,63.386971,10.397779,700
Ratesvingen,63.387853,10.399303,700
Reppe snuplass,63.415995,10.557953,700
Reppevegen,63.423264,10.543021,700
Ringve museum,63.449355,10.456686,700
Ringve skole,63.449738,10.444757,700
Ringvål,63.351952,10.24992,700
Ringvål grind,63.355744,10.25596,700
Risvollan senter,63.390575,10.429554,700
Risvollvegen,63.394515,10.423483,700
Rognbudalen,63.354256,10.379518,700
Rognheim,63.399386,10.372888,900
Romolslia,63.379509,10.368245,700
Romolslia nedre,63.381813,10.369255,700
Romolslia øvre,63.377037,10.362366,700
Rosten,63.362308,10.362672,700
Rostengrenda,63.365978,10.381981,700
Rota,63.395947,10.528738,700
Rotvoll,63.435011,10.484229,700
Rydland,63.302355,10.487373,700
Rydningen,63.388279,10.353351,700
Rye,63.424769,10.149959,700
Rye skole,63.41893,10.145946,700
Rødde,63.313974,10.356135,700
Rønningsbakken,63.437067,10.437261,700
Rønningstad,63.386861,10.32702,700
Rørmyra,63.35533,10.297215,700
Røstad,63.34933,10.484932,700
Sagplassen,63.408452,10.536152,700
Saksvik,63.436576,10.604693,700
Saksvikkorsen,63.433164,10.593631,700
Sandmoen,63.33318,10.365206,700
Sandmoen 2,63.332996,10.361941,700
Sandmoen E6,63.335029,10.357326,700
Saupstadmyra,63.35971,10.342874,700
Saupstadringen 109,63.362034,10.345001,700
Saupstadsenteret,63.366987,10.348705,700
Schiøtz' vei,63.425854,10.355607,700
Sellesbakken,63.324788,10.462697,700
Selsbakk,63.388888,10.378923,700
